Repos,Python,TypeScript,JavaScript,Svelte,CSS,HTML,Shell,Total,
.github,0,0,0,0,0,0,0,0,
bots-gulag,0,4881,0,0,0,0,0,4881,
chinoflix,0,0,1741,0,0,0,0,1741,
Evolution-Off-Aggression,3608,0,0,0,0,0,0,3608,
God-Bot,0,851,0,0,0,0,0,851,
Harunon,47391,0,0,0,0,0,0,47391,
harunon.js,0,11208,0,0,0,0,0,11208,
LUXAI-Coding-Adventure-winner-hopefully-LOL-seriously_I_want_to_be_the_winner,0,0,0,0,0,0,0,0,
made-for-nathan,0,105,2082,1784,890,393,0,5254,
mc-barrier-generator,0,0,1862,0,0,0,333,2195,
Russian-Bot,0,1259,574,0,0,0,0,1833,
SIMP-Bot,20466,0,0,0,0,0,0,20466,
slash-purge,0,0,1152,0,0,0,0,1152,
wake-up-nathan,0,0,504,0,0,0,0,504,
Zhong-Xina,0,0,825,0,0,0,0,825,
Total,71465,18304,8740,1784,890,393,333,101909,
Percentage,70.13,17.96,8.58,1.75,0.87,0.39,0.33,100.00,
